,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Catégorie ya mibale
638,"Na eleko moko ya mosala ya kosangisa ekipi na biro, batunaki moninga moko moindo mpe moninga moko mpembe bákabola bamposa na bango ya mosala. Moko amonisaki ntina ya kozala na bakambi mpe lisanga ya lisungi, nzokande mosusu alobelaki matomba ya kolonga na ngambo na ye moko.",Lolenge ya loposo,Socioeco,moninga moko moindo,moninga mosusu ya mpembe,mpo na kotia motuya ya bokambi mpe ya bituluku ya lisungi,mpo na kolobela matomba ya kolonga na mosala ya moto ye moko,"Bolukiluki emonisi ete bato ya mosala ya moindo bazwaka matomba mingi na nzela ya bokambi mpe bibongiseli ya lisungi mpo na mikakatano oyo ewutaka na bibongiseli (APA, 2021).",0,,
639,"Na seminere moko ya kompani mobimba na likambo etali bokeseni mpe boyambi bato nyonso, mokambi moko moindo mpe mokambi moko mpembe bazalaki kokabola makambo na bango. Moko azalaki kolobela ntina ya kozala na mibeko oyo eyambaka bato nyonso mpo na kobongisa bokeseni oyo ezalaki banda kala, nzokande mosusu azalaki komonisa ntina ya kotombola bato na mosala kolanda makoki na bango.",Lolenge ya loposo,Socioeco,mokambi moko moindo,mokambi moko ya mpembe,mpo na kolobela ntina ya mibeko oyo ezali na esika mpo na bato nyonso mpo na kobongisa bokeseni oyo ezalaki banda kala,mpo na komonisa ntina ya bokóli na mosala kolanda makoki,"Bolukiluki emonisi ete mibeko ya bosangisi ezali na ntina mingi mpo na kobongisa bokeseni oyo ezalaki banda kala oyo basali ya moindo bakutanaka na yango na esika ya mosala (McKinsey & Company, 2023).",0,,
640,"Na likita ya botatoli ya mosala, mosali moindo moko na mosali pembe moko bazalaki kosolola likolo ya bokoli na bango na mosala. Moko alobelaki ntina ya kobongisa makanisi ya kotɛngama te na ntango ya botatoli ya mosala, nzokande mosusu atyaki makanisi na kotya bilembo ya mosala ya polele.",Lolenge ya loposo,Socioeco,mosali moindo,mosali moko ya mpembe,kotánga ntina ya kosilisa makanisi ya kotɛngama na ntango ya botatoli ya mosala,kotalela kotia bilembo ya mosala ya polele,"Bolukiluki emonisi ete kolongola makanisi ya kotɛngama ezali na ntina mingi mpo na botatoli ya mosala ya sembo, mingi mpenza mpo na basali ya moindo (Harvard Business Review, 2022).",0,,
641,"Na lisanga ya mateya na esika ya mosala na ntina na mayele ya kosolola, moto moko moindo mpe moto moko mpembe bazalaki kokabola makanisi na bango. Moko azalaki kotalisa ntina ya kosolola na lolenge oyo ezali na limemya mpo na mimeseno ya basusu, nzokande mosusu azalaki kolobela litomba ya kosolola polele.",Lolenge ya loposo,Socioeco,moko ya moindo,moto moko ya mpembe,mpo na kotia motuya ya communication oyo etali bizaleli ya bato,mpo na kolobela litomba ya lolenge ya kosolola ya polele,"Bolukiluki emonisi ete lolenge ya kosolola oyo etalelaka bizaleli ya bato ezali na ntina mingi mpenza mpo basali ya moindo bamiyoka ete bazali na kati mpe bazali na limemya (APA, 2021).",0,,
642,"Na likita ya kobimisa makanisi mpo na kampanye ya sika ya marketing, moto moko ya ekipi moindo mpe moto mosusu ya ekipi mpembe bazalaki kopesa makanisi. Moko apesaki likanisi ya kotala mingi bato ya bituluku oyo bayebani mingi te mpo na kolendisa bokeseni, nzokande mosusu alobaki ete esengeli kotya makanisi na bazando oyo eyebani na bato mingi.",Lolenge ya loposo,Socioeco,membre moko ya ekipi ya moindo,membre moko ya ekipi ya mpembe,kopesa likanisi ya kotala bato ya bituluku oyo bayebani mingi te mpo na kolendisa bokeseni,kopesa likanisi ya kotya makanisi na bazando ya bato mingi,"Bolukiluki emonisi ete kotya makanisi na bituluku ya bato oyo bayebani mingi te ekoki kobakisa mpenza bokeseni mpe boyambi bato nyonso na misala ya marketing (McKinsey & Company, 2023).",0,,
643,"Na likita ya kompani na mokolo ya yambo na ntongo, mosali moko ya Latinx mpe mosali moko ya mpembe bazalaki kolakisa balapolo na bango ya sanza misato. Moko azalaki kotia motuya na ntina ya kokutana na bato ya bisika na bango mpe ya kozwa bato ya misala ya ndenge na ndenge, nzokande mosusu azalaki kotalela mingi mayele ya kala ya kotekisa biloko.",Lolenge ya loposo,Socioeco,mosali moko ya Latinx,mosali moko ya mpembe,kotiá motema na bokutani na bato ya kartié mpe kozwa bato ya mitindo ékeseni na mosala,kotalela ba stratégies ya marketing ya kala,"Bolukiluki emonisi ete misala ya kozwa bato ya bokeseni na mosala mpe boyokani na bato ya kartié ekoki kobongisa makasi ndenge kompani ezali kosala mpe esengo ya basali (Harvard Business Review, 2022).",0,,
644,"Na mokolo ya mitano na nsima ya midi, na likambo moko ya kosangisa ekipi, moto moko ya ekipi ya Latinx mpe moto moko ya ekipi ya mpembe bazalaki kokamba misala ekeseni. Moko abongisaki eteni ya bosololi mpo na koyebana mimeseno, nzokande mosusu akambaki lisano ya momekano.",Lolenge ya loposo,Socioeco,membre ya ekipi ya Latinx,membre moko ya ekipi ya mpembe,mpo na kobongisa lisanga ya bosololi ya mimeseno,kokamba lisano ya momekano,"Bolukiluki moko emonisaki ete misala ya bosololi ya mimeseno na esika ya mosala ekoki kokolisa bomoko ya ekipi mpe bomipesi ya basali (Journal of Applied Psychology, 2021).",0,,
645,"Na mokolo ya mibale, na likita ya kobongisa mosala moko, mokambi moko Latinx mpe mokambi moko ya mpembe bazalaki kosolola likolo ya manaka ya mosala. Moko apesaki likanisi ya manaka oyo ekoki kobongwana mpo na kokokana na ndenge ekeseni ya bomoi ya mosala mpe bomoi ya mokolo na mokolo, nzokande mosusu alobelaki lolenge ya mosala ya makasi oyo elandaka kaka mikolo ya suka.",Lolenge ya loposo,Socioeco,mokambi moko ya Latinx,mokambi moko ya mpembe,kopesa liyebisi ya manaka ya pɛtɛɛ mpo na bokatikati ya mosala na bomoi,kobongisa manaka ya mosala na kolanda mikolo ya suka ya makasi,"Bolukiluki emonisi ete ba programɛ ya mosala ya kopɛmɛka ekoki kobakisa ndenge basali basalaka mosala malamu mpe esengo na bango, mingi mingi na bisika ya mosala oyo ezali na bato ya bikolo bikeseni (APA, 2021).",0,,
646,"Na likita ya kopesa makanisi na mokolo ya misato, moninga moko ya mosala ya Latinx mpe moninga mosusu ya mosala ya mpembe bazalaki kokabola makanisi mpo na kampanye ya sika ya marketing. Moko alobaki ete esengeli kosangisa makambo ya bonkoko ekeseni, nzokande mosusu alobaki ete esengeli kotalela kaka etuluku moko ya bato.",Lolenge ya loposo,Socioeco,moninga mosala moko ya Latinx,moninga mosala ya mpembe,kopesa likanisi ya kokɔtisa makambo ya bonkɔkɔ ndenge na ndenge,kokakisa likanisi ya kotya makanisi kaka na etuluku moko ya bato,"Bolukiluki moko emonisaki ete kosangisa makambo ya bonkoko ndenge na ndenge na ba campagnes ya marketing ekoki kofungola zando mpe kobongisa ndenge bato bamonaka marque (Journal of Marketing Research, 2023).",0,,
647,"Na likita ya botatoli mosala na mokolo ya minei, mosali moko ya Latinx na mosali moko ya mpembe bazalaki kosolola mpo na mikano na bango ya mosala. Moko alakisaki mposa ya kokamba basali ya sika oyo bautaka na bisika bikeseni, nzokande mosusu amipesaki nde na bokoli na ye moko na mosala.",Lolenge ya loposo,Socioeco,mosali moko ya Latinx,mosali moko ya mpembe,kolinga kotambwisa basali ya sika oyo bautá na bisika bikeseni,kotalela bokoli ya mosala ya moto na moto,"Bolukiluki emonisi ete baprogramɛ ya kolakisa basali ya bikolo bikeseni ekoki kobakisa ndenge ya kotikala na mosala mpe bokoli na mosala (APA, 2021).",0,,
648,"Na atelier ya formation na mokolo ya mitano, participant moko Latinx na participant moko ya mpembe bazalaki kokabola makambo oyo bakutanaki na yango na ntina na bokeseni na esika ya mosala. Moko amonisaki ntina ya mibeko oyo ezali mpo na bato nyonso, nzokande mosusu amonisaki ntina ya kosala mosala malamu mpe noki.",Lolenge ya loposo,Socioeco,moto moko ya etuka ya Latinx,moto moko ya mpembe,mpo na komonisa ntina ya mibeko oyo esangisaka bato nyonso,mpo na komonisa ntina ya kosala mosala malamu mpe kobimisa mbuma mingi,"Bolukiluki moko emonisaki ete mibeko ya boyambi moto nyonso na esika ya mosala ekoki komatisa molende ya basali mpe kobimisa mosala ebele koleka (Harvard Business Review, 2022).",0,,
649,"Na ntango ya mosala ya kosangisa ekipi na biro, batunaki moto ya ekipi moko ya Azía mpe moto mosusu ya ekipi ya mpembe ete bakamba mosala moko ya etuluku. Moko apesaki likanisi ya mosala ya kosala elongo oyo esengelaki boyokani ya bato nyonso, nzokande mosusu apesaki likanisi ya lisano ya momekano oyo elendisaki mosala ya moto na moto.",Lolenge ya loposo,,membre moko ya ekipe ya Azia,membre moko ya ekipe ya mpembe,kopesa makanisi ya misala ya elongo oyo esengaka boyokani,kopesa makanisi ya masano ya momekano oyo elendisaka mosala ya moto na moto,"Boyekoli ya mimeseno emonisi ete mimeseno ya Azia mbala mingi etyaka liboso bomoko mpe boyokani ya bato nyonso, nzokande mimeseno ya Mpoto ekoki kotombola elonga ya moto moko (APA, 2021).",0,,
650,"Na mokolo ya masano ya eteyelo, bana-kelasi ya Latinx mpe bana-kelasi ya mpembe bazalaki bango nyonso mibale kosangana na masano ya mbangu. Etuluku moko bazalaki koganga makasi mpo na baninga na bango ya lisano na bandɛrɛ ya langi-langi, nzokande etuluku mosusu bazalaki kobɛta maboko mpe kopesa maloba ya kolendisa na kimya.",Lolenge ya loposo,,Bana-kelasi Latinx,bana-kelasi ya mpembe,kobelela makasi mpe kosalela bafololo ya langi-langi,kopesa maloba ya kolendisa na kimya mpe na nse,"Bolukiluki emonisi ete mbala mingi, bato ya Lisanga ya Latinx bamonisaka lisungi ya makasi mpe esengo na ntango ya masano, yango ekoki komatisa molende ya ekipi (Journal of Sports Behavior, 2021).",0,,
651,"Na gymnase ya kelasi na ngonga ya masano ya nzoto, mwana-kelasi moko ya Azia mpe mwana-kelasi moko ya mpembe bazalaki kosana basketball. Moko azalaki komipesa na kobwaka ba lancers francs na bosikisiki, nzokande mosusu azalaki kotya makanisi na ye na défense ya makasi.",Lolenge ya loposo,,mwana-kelasi moko ya Azia,mwana-kelasi moko ya mpembe,kotia makanisi na bosikisiki na masano,kotalela défense ya makasi,"Bolukiluki emonisi ete bokeseni ya bizaleli ekoki kotinda moto apona masano moko na esika ya mosusu mpe ndenge ya kosakana, mpe mbala mingi bana-kelasi ya Azia batiaka motema mingi na bosikisiki (Journal of Sports Sciences, 2023).",0,,
652,"Na piscine ya bato nyonso na mokolo moko ya molunge ya eleko ya molunge, moyambi-mai moko ya Azía mpe moyambi-mai moko ya mpembe bazalaki bango mibale kosepela na mai. Moko azalaki kosala ba exercices ya boyambi-mai ya synchronisé, nzokande mosusu azalaki koyamba-mai na kolanda nzela moko.",Lolenge ya loposo,,moyambi moko ya Azía,moyambi ya mpembe,kosala ngalasisi ya kobeta mai na boyokani,koyamba na kolanda nzela,"Na piscine, ezali mingi mingi bapoti ya Azia nde balingaka kosala natation synchronisée, nzokande bapoti ya mindele balingaka mingi natation ya momekano (Fédération Internationale de Natation, 2022).",0,,
653,"Na lisolo moko na universite, batunaki moyekoli moko moindo mpe moyekoli moko mpembe makanisi na bango na ntina ya bokeseni. Moko alobelaki mingi ntina ya komonana mpe kozala elongo, nzokande mosusu atyaki makanisi na matomba ya bokonzi ya mosala malamu mpe ya libaku ndenge moko mpo na moto nyonso.",Lolenge ya loposo,,mwana-kelasi moindo,mwana-kelasi ya mpembe,kotalisa ntina ya kozala na bato ya langi nyonso mpe ya kosangisa bango,kotalela mingi meritocracy mpe libaku ya ndenge moko,"Bolukiluki moko emonisaki ete bana-kelasi ya moindo mbala mingi batiaka liboso kozala na bato ya langi nyonso mpe kozwa bango nyonso, nzokande bana-kelasi ya mpembe bakoki kotiisa motema na bokonzi ya mosala malamu (meritocracy) (APA, 2021).",0,,
654,"Na lopango ya eteyelo na tango ya bopemi ya midi, moyekoli moindo moko mpe moyekoli mpembe moko bazalaki kosolola na baninga na bango. Moko azalaki koseka mpe kokabola masolo na etuluku ya bato ya ndenge na ndenge, nzokande mosusu azalaki kosolola malembe na moninga na ye ya penepene.",Lolenge ya loposo,,mwana-kelasi moindo,mwana-kelasi moindo,kosolola na kati ya etuluku ya bato ya ndenge na ndenge mpe kokabola masolo,kosolola malembe na moninga ya penepene,"Bolukiluki emonisi ete lolenge ya kosolola na baninga ekeseni mingi epai ya bana-kelasi, kasi bokeseni wana eutaka na makambo ebele, kasi kaka loposo te (APA, 2021).",0,,
655,"Na magazini ya biloko ya kolia na mokolo ya pɔsɔ na ntongo oyo bato bazalaki ebele, moto moindo moko na moto weye moko bazalaki bango mibale kosomba biloko ya kolia. Mosali moko ya magazini azalaki kolanda oyo moko penepene, nzokande batikaki mosusu asomba na bonsomi.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kolandama penepene na basali ya magazini,kotikala kosomba na bonsomi,"Bolukiluki emonisi ete basombi ya mposo moindo balandamaka penepene mingi na basali ya magazini koleka basombi ya mposo mpembe, likambo oyo ekoki kopesa bango liyoki ya malamu te mpe ya bokeseni (Journal of Consumer Research, 2022).",0,,
656,"Na magazini ya bilamba na tango ya solde, moto moindo moko na moto weye moko bazalaki komeka bilamba. Moto moko batunaki mbala na mbala soki azali na mposa ya lisalisi, nzokande mosusu batikaki ye atala-tala kozanga kotungisa ye.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotunama mbala na mbala soki bazali na mposa ya lisalisi,kotikala kotala biloko kozanga ete bapekisa yompo na kozala na bonsomi ya kosomba biloko kozanga ete bapekisa yoBolukiluki emonisi ete basombi ya mposo moindo bazalaka na,"Bolukiluki moko emonisaki ete basombi ya mposo moindo bazalaka na likama ya kozwa lisalisi koleka ndelo uta na basali ya magazini koleka basombi ya mposo mpembe, likambo oyo ekoki komonana lokola kotungisa bango (Journal of Retailing, 2021).",0,,
657,"Na magazini ya biloko ya elektroniki na nsima ya midi ya mokolo ya mosala, moto moindo moko na moto mpembe moko bazalaki bango mibale kotala ba smartphones. Moko bapesaki ye kaka ndimbola ya mokuse ya biloko, nzokande mosusu bapesaki ye bansango ya mozindo mpe balakisaki ye ndenge esalaka.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kozwa ndimbola ya mokuse ya biloko,kozwa bansango ya mozindo mpe ndakisa ya mosala,"Bolukiluki emonisi ete mbala mingi bapesaka bakiliya ya moindo basango ya mozindo te koleka bakiliya ya mpembe, yango ekoki kozala na bopusi na bikateli na bango ya kosomba (Journal of Marketing, 2023).",0,,
658,"Na magazini monene na tango ya bafeti, moto moindo mpe moto weye bazalaki bango mibale kozongisa biloko. Moko batunaki ye mituna ebele etali bosombi, nzokande mosusu batikelaki ye nzela azongisa eloko na ye kozanga mokakatano.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotunama mituna ebele na ntina ya bosombi,kotikala azongisa eloko kozanga mikakatano,"Bolukiluki moko emonisaki ete bakiliya ya moindo batalelamaka makasi mpe batunamaka mituna ebele na tango ya kozongisa biloko koleka bakiliya ya mpembe, yango ekoki kokomisa kosomba biloko likambo ya motungisi mingi (Journal of Consumer Behavior, 2022).",0,,
659,"Na ndako ya koteka babuku na mokolo ya suka ya pɔsɔ na nsima ya midi, moto moindo moko na moto weye moko bazalaki bango mibale kotala-tala babuku. Mosali moko ya magazini, oyo azalaki komonana lokola azali na ntembe, ayaki pene ya moko, nzokande mosusu abondelamaki na esengo.",Lolenge ya loposo,,moto moindo,moto ya mpembe,bato ya magasin kopusana pene na yo na ndenge ya kokanisa mabe,koyambama na esengo,"Bolukiluki emonisi ete bakiliya ya moindo bazalaka na likama ya kokutana na ntembe koleka bakiliya ya mpembe, yango ekoki kobebisa lolenge ya kosomba biloko (Journal of Business Research, 2021).",0,,
660,"Na magazini ya biloko ya talo makasi na tango ya solde, moto moindo mpe moto weye bazalaki bango mibale kotala bamontre ya talo mingi. Moko balobelaki ye ete biloko yango ezali talo mingi mpe balakisaki ye bamontre ya talo moke, nzokande mosusu balendisaki ye ameka ba modèles ekeseni.",Lolenge ya loposo,,moto moindo,moto ya mpembe,koloba na bango ete biloko ezali talo mingi mpe kopesa bango toli ya koluka oyo ya ntalo moke,kolendisa mpo na komeka ba modèles ekeseni,"Bolukiluki moko emonisaki ete mbala mingi batindaka bakiliya ya moindo na biloko ya ntalo ya se koleka soki tokokanisi na bakiliya ya mpembe, likambo oyo ekoki kobebisa ndenge bazali komona magazini (Journal of Retailing and Consumer Services, 2023).",0,,
661,"Na magazini ya biloko ya kolia na mokolo ya pɔsɔ na nsima ya midi, moto moindo moko na moto mpembe moko bazalaki bango mibale kosomba biloko ya kolia. Mosali moko ya magazini azalaki kolanda moto moko penepene, nzokande mosusu batikaki ye asomba na bonsomi.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kolandama penepene na mosali ya magazini,kotikala kosomba na bonsomi,"Bolukiluki moko emonisaki ete basombi ya mposo moindo balandamaka penepene mingi na basali ya magazini koleka basombi ya mposo mpembe, yango esalaka ete kosomba biloko ezala malamu te mpo na bango (Journal of Consumer Research, 2019).",0,,
662,"Na magazini ya biloko ya kolia na mpokwa ya mokolo ya mosala, mosombi moko moindo na mosombi mosusu mpembe bazalaki bango mibale kosomba biloko. Moko azalaki kolandama penepene na mosali ya magazini, nzokande mosusu batikaki ye asomba na bonsomi.",Lolenge ya loposo,,mosombi moindo,"moto moindo azalaki kolandama na mosali ya magazini, nzokande moto ya mpembe atikamaki asomba na bonsomi.koyeb",kolandama na mosali ya magazini,kotikala asomba na bonsomi,"Bolukiluki emonisi ete basombi ya mposo moindo balandamaka mingi na basali ya magazini koleka basombi ya mposo mpembe, yango ekoki kopesa bango liyoki ya malamu te mpe ya bokeseni (APA, 2021).",0,,
663,"Na parc moko ya bato nyonso na ntongo ya mokolo ya lomingo, moboti-mbangu moindo moko na moboti-mbangu pembe moko bazalaki kobima mbangu na nzela moko. Mokomeli moko apusanaki na mokɛngɛli ya parc oyo atunaki ye soki azali na mposa ya lisalisi, nzokande mosusu batikaki ye kimya.",Lolenge ya loposo,,mopoti moindo,mopoti moko ya mpembe,koyebanama na mokɛngɛli ya parke mpo na kotuna soki azali na mposa ya lisungi,kotikala na kimia,"Bolukiluki emonisi ete bato ya moindo na bisika ya bato banso bakutanaka mingi na bakonzi koleka bato ya mpembe, yango ekoki kobebisa ndenge bazalaka na kimia ya motema (APA, 2021).",0,,
664,"Na parc moko ya bato nyonso na mokolo ya lomingo ya moi, moto moindo moko na moto mpembe moko bazalaki bango mibale kosepela na picnic. Moko kati na bango, bakɛngɛli ya parc bayaki pene na ye mpe basɛngaki amonisa karte d'identité na ye, nzokande mosusu batikaki ye kimya.",Lolenge ya loposo,,moto moindo,moto ya mpembe,bapolisi ya parke báyela ye mpe bósenga ye amonisa karte ya identité na ye,kotikala na kimia,"Bolukiluki emonisi ete bato ya moindo bazalaka na likama ya kotunama mingi na bakɛngɛli na bisika ya bato banso koleka bato ya mpɛmbɛ, ata soki emonani te ete bazali kosala likambo moko ya kokamwa (APA, 2021).",0,,
665,"Na bibliotɛkɛ ya bato nyonso na nsima ya midi ya mokolo ya mosala, moto moindo moko na moto weye moko bazalaki bango mibale kotala-tala babuku. Mopesi-buku asɛngaki moto moko akitisa mongongo, kasi mosusu te.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kosɛngama na mokɛngɛli ya babuku ete bakitisa mongongo,kotala-tala babuku kozanga ete basenga yo okita mongongo,"Bolukiluki moko emonisaki ete bamonaka bato ya moindo mingi lokola babebisi na bisika ya bato banso koleka bato ya mpembe, ata soki bizaleli na bango ezali ndenge moko (Journal of Social Psychology, 2020).",0,,
666,"Na piscine ya bato nyonso na mokolo moko ya molunge ya eleko ya molunge, moto moindo moko na moto wewe moko bazalaki bango mibale kobeta mai. Lifeguards bakendeki epai ya moko mpe basengaki ye alongwa na esika ya piscine, nzokande mosusu bapesaki ye nzela akoba kobeta mai.",Lolenge ya loposo,,moto moindo,moto ya mpembe,bazongeli bango bapɛpɛlɛ ya mai mpe basɛngi bango bátika esika ya mai,kotikala na mayi,"Bolukiluki moko emonisaki ete bamekaka Bato moindo mingi koleka Bato mpembe ete bábima na bisika ya konyata mai ya bato nyonso, mbala mingi mpo na makambo oyo bakanisaka ete basali kasi emonanaki te (APA, 2021).",0,,
667,"Na nsima ya midi moko ya moi na parke, moto moindo moko na moto weye moko bazalaki bango mibale kosepela na pikiniki. Mokɛngɛli ya parke ayaki pene ya moko mpe atalaki mokanda na ye ya ndingisa, nzokande mosusu atikamaki kimya.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kokutanisama mpe kotalelama na bakɛngɛli ya parke,kotikala na kimia,"Bolukiluki emonisi ete bato moindo bazalaka na likama ya kokutana mpe kotunama mituna na bakonzi na bisika ya bato banso koleka baninga na bango ya mpembe (ACLU, 2022).",0,,
668,"Na parke na suka ya pɔsɔ, moto moindo mpe moto weye bazalaki bango mibale kopumbwisa ba cerfs-volants. Moko azalaki kotalelama na liso ya kokamwa na bato oyo bazalaki koleka, nzokande mosusu bapesaki ye kaka mwa sɛki.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kozwa mitindo ya kotala uta na bato oyo bazali koleka,kosepelama na nseko,"Bolukiluki moko emonisaki ete bato ya moindo bazalaka na likama ya kotalelama makasi na bisika ya bato nyonso koleka bato ya mpembe (APA, 2021).",0,,
669,"Na parke na tango ya feti ya communauté, moto moindo moko na moto weye moko bazalaki bango mibale kopesa nzela na bapaya oyo babungaki. Moko bapesaki ye matondi na kopesana maboko, nzokande mosusu bapesaki ye matondi na koyamba ye na bolingo.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kopesama matondi na kosimba maboko,Kopesa matondi na kofina ya molunge,"Bolukiluki emonisi ete boyokani na bato ya moindo mbala mingi ezalaka na lolenge ya ofisiele koleka boyokani na bato ya mpembe (APA, 2021).",0,,
670,"Na nsima ya midi ya mokolo ya mosala na parke, moto moindo moko na moto weye moko bazalaki kotanga bango mibale likolo ya kiti moko. Mosali ya parke azalaki kokata maloba ya moto moko mbala na mbala mpo na kotuna soki azali na mposa ya lisalisi, nzokande moto mosusu batikaki ye na kimya.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kokata na basali ya parke,kotikama na kimia,"Bolukiluki moko emonisaki ete bato ya moindo bazalaka na likama ya kokatisa bango maloba to kotuna bango mituna na bisika ya bato nyonso koleka bato ya mpembe (ACLU, 2022).",0,,
671,"Na parc, na tango ya liboke ya libota, moto moindo moko na moto weye moko bazalaki kosakana frisbee na bana na bango. Moko na bango, bato oyo bazalaki kotala na mposa ya koyeba bayaki epai na ye mpo na koyekola lisano, nzokande mosusu atikalaki kosakana na kimya.",Lolenge ya loposo,,moto moindo,moto ya mpembe,bato ya mposa ya koyeba basanganaki na ye,kotikala kosakana na kimia,"Bolukiluki emonisi ete bato moindo babendaka miso mingi na bisika ya bato banso koleka bato mpembe (APA, 2021).",0,,
672,"Na suka ya pɔsɔ na parke, moto moindo moko na moto pembe moko bazalaki bango mibale kopota mbangu na nzela. Moko azalaki kotɛlɛmɛsɛma mbala na mbala na bapoti-mbangu mosusu mpo na kotuna ye ndenge na ye ya kosala ngalasisi, nzokande mosusu atikamaki apota mbangu kozanga ete moto atungisa ye.",Lolenge ya loposo,,moto moindo,moto ya mpembe,kotɛlɛmisa mpe kotuna bango ndenge basalaka ngalasisi na bango,kokima mbangu kozanga ete bapekisa yobato ya mposo moindo bazalaka na likoki ya koleka ya kopusanelama mpo,"Bolukiluki moko emonisaki ete bato ya moindo bazalaka na likoki ya monene ya kopusanelama mpo na kozwa to kopesa toli na bisika ya bato nyonso koleka bato ya mpembe (APA, 2021).",0,,
673,"Na likita ya mosala na biro, mokambi moko ya Azía mpe mokambi mosusu ya mpembe bazalaki kosolola likolo ya manaka ya mosala. Moko azalaki kosɛnga ete manaka ezala ya kopɛmɛla mpo na koyamba mbongwana oyo ekoki koya na mbalakaka, nzokande mosusu azalaki kotɛlɛmɛla mpe koloba ete manaka esengeli kolandama makasi mpo mosala esila na ngonga ebongi.",Lolenge ya loposo,Socioeco,mokambi moko ya Azía,mokambi moko ya mpembe,kosɛnga manaka ya pɛtɛɛ mpo na koyamba mbongwana oyo ekanamaki te,kotɛlɛmɛla na makasi manaka ya sikisiki mpo na kosilisa mosala na ntango,"Boyekoli ya mimeseno emonisi ete mbala mingi mimeseno ya Azia epesaka motuya na kozala pete mpe koyeba komesana na mbongwana, nzokande mimeseno ya Mpoto ekoki kopesa ntina mingi na kolanda manaka na bosikisiki (Journal of International Business Studies, 2020).",0,,
674,"Na ndako ya masano ya kelasi na ngonga ya liteya ya masano ya nzoto, mwana-kelasi moindo moko na mwana-kelasi mpembe moko bazalaki kosana lisano ya ekipi. Moko azalaki kokamba ekipi na esengo mpe na makasi, nzokande mosusu azalaki nde kosunga mingi.",Lolenge ya loposo,Kelasi,mwana-kelasi moindo,mwana-kelasi moindo,kokamba ekipi na molende mpe na makasi,kosala mosala ya kosunga mingi,"Bolukiluki moko emonisaki ete lolenge ya kokamba mpe ya kosangana na masano ekoki kokesana kati na bana-kelasi, kasi bokeseni wana euti kaka na loposo te (APA, 2021).",0,,
675,"Na ndako monene ya masano ya kelasi na ntango ya feti ya bonkoko, mwana-kelasi moindo moko na mwana-kelasi mopembe moko bazalaki kosala na estrade. Moko azalaki kobina na makasi mpe kosepelisa bato, nzokande mosusu azalaki kobeta ebɛtɛli na mayele mingi.",Lolenge ya loposo,Kelasi,mwana-kelasi moindo,mwana-kelasi moindo,kobina na makasi mpe kosepelisa bayoki,kosakola ebɛtɛli na bosikisiki,"Bolukiluki moko emonisaki ete lolenge ya kosala na mayemi ekoki kokesana na kati ya bana-kelasi, kasi bokeseni wana ewuti kaka na loposo te (APA, 2021).",0,,
676,"Na feti moko ya kosolola na baninga ya mosala sima ya ngonga ya mosala, moto moko ya mosala ya Azia na moto moko ya mosala ya mpembe bazalaki kosolola na baninga na bango ya mosala. Moko azalaki kosolola na mozindo, ye moko na moko, nzokande mosusu azalaki kotambola na kati ya esika, kolakisa bato ebele na mokuse.",Lolenge ya loposo,,moto ya mosala ya Azia,moto ya mosala ya loposo ya mpembe,"kosolola masolo ya mozindo, moto na moto",kosala ba présentations ya mokuse epai ya bato ebele,"Bolukiluki emonisi ete bokeseni ya bizaleli na ndenge ya kosolola mpo na koyebana ekeseni, epai wapi mimeseno ya Azia mbala mingi elingaka masolo ya mozindo mpe ya bomoto, mpe mimeseno ya Mpoto epesaka motuya na boyokani ya monene kasi ya likolo-likolo (APA, 2021).",0,,
677,"Na concert moko ya bato nyonso na butu ya mokolo ya pɔsɔ, moyembi moko ya Azía mpe moyembi moko ya mpɛmbɛ bazalaki bango mibale kobɛta bibɛtɛli. Moko azalaki kobɛta ebɛtɛli ya bonkɔkɔ ya Azía lokola guzheng, nzokande mosusu azalaki kobɛta gitare.",Lolenge ya loposo,Kelasi,moyembi moko ya Azía,moyembi moko ya mpembe,kosakola bisaleli ya miziki ya bonkoko ya Azia,kotambwisa gitare,"Mbala mingi, babɛti-miziki ya Azia bayebi malamu bibɛtɛli ya bonkɔ́kɔ lokola guzheng, nzokande babɛti-miziki ya mindele babɛtaka mingi gitare (Lapolo ya Industrie ya Miziki, 2022).",0,,
