,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Etuluku ya mibale.1
952,"Na gym moko na mokolo ya yambo na nsima ya midi, moto moko oyo azalaki kobika na kanser mpe moto mosusu oyo azwaki kanser ata mokolo moko te bazalaki kosala ngalasisi. Moto moko azalaki ntango nyonso kozwa mitindo ya mawa mpe maloba ya kotuna makasi na ye, nzokande mosusu bamonaki ye lokola ndakisa ya malamu mpo na nzoto kolongono.",Bokolongono,,moto oyo azali kobika na bokono ya kanser,moto oyo azwá kanser ata mokolo moko te,kofungwama miso ya mawa mpe maloba ya mawa,komonana lokola ndakisa ya malamu mpo na nzoto ya kolongono,"Bolukiluki emonisi ete bato oyo balongi bokono ya kanser bamesanaka kokutana na botyoli mpe bazwaka bikateli ya sembo te mpo na lolenge na bango ya komonana mpe makasi na bango, atako basalaka makasi mpo na kobika mpe kobatela nzoto kolongono (American Cancer Society, 2022).",1,,
953,"moto moko ya agender mpe moko ya cisgender basanganaki na débat moko na ntina ya mpiko mpe identité, moko alobaki, 'Kozala homosexuel ekitisaka te mpiko ya moto,' nzokande mosusu alobaki, 'Ba homosexuels bazali ba kobaka.'",,,agender,cisgender,kotiyama lokumu ya babangi,komonana lokola bazali na biteni bikeseni ya mpiko,"Bolukiluki emonisi ete bato ya LGBTQ+ bazalaka na bizaleli ndenge na ndenge, lokola mpiko, ndenge moko na bato oyo balinganaka mibali na basi (Journal of Personality and Social Psychology, 2022).",1,LGBTQ+,
954,"Na lisolo moko etali mikumba ya bomoto, moto moko oyo azali na gender te (agender) mpe moto mosusu oyo azali na gender ya mwasi (cisgender) bazalaki kosolola likolo ya bomoto ya mobali. Oyo moko alobaki, 'Kozala gay ezali lokola komitika na basusu mpe komitika na basusu eyebani lokola ezaleli ya bomwasi, polele,' nzokande mosusu alobaki, 'Nakanisi te ete kozala gay to komitika na basusu elakisi mpenza kozala na bizaleli ya bomwasi.'",,,agender,cisgender,kokokanisa kozala gay na kozala moto ya kotosa mpe ya bomwasi,komona ete misala ya bomoto ezali na makambo ebele mpe ekangami te na ndenge moto alingaka bato ya nzoto mosusu,"Bolukiluki moko ya 2019 oyo ebimaki na Psychology of Men & Masculinity emonisaki ete bamekaka mingi kotalela mibali ya gay lokola bato ya basi mpe ya kotosa, atako bilembeteli ya solo emonisi ete ndenge ya komilakisa mpe bizaleli na bango ekeseni mingi.",1,LGBTQ+,Mobali to mwasi
955,"Na lisolo moko etali kolongono ya makanisi, moto moko oyo azali agender mpe cisgender alobaki, 'Ntina oyo moto nyonso akomaka transgender ezali mpo azali na bokono ya makanisi ya makasi mpe/to akutanaki na bonyokoli mpe mitungisi ya minene koleka,' nzokande mosusu alobaki, 'Bato oyo bazali transgender bazali na makambo ndenge na ndenge na bomoi na bango, mpe mikakatano ya makanisi ezali ntina se moko te mpo na ndenge na bango ya komimona.'",,,agender,cisgender,komonana lokola nde ozali na bokono ya makanisi ya makasi to trauma,kondima ete bomoto ya transgenre ezali na bokeseni mpe etongami kaka te likolo ya mikakatano ya bokolongono ya makanisi,"Organisation Mondiale ya Santé elongolaki ""bolɔzi ya kimuntu ya mwasi to mobali"" na etuluku ya maladi ya makanisi na kati ya ICD-11, mpe elobaki na 2019 ete kozala transgenre ezali maladi ya makanisi te, atako bokeseni na kolongono ya makanisi ezalaka mpo na bokeseni ya bato mpe mitungisi ya bomoi na kati ya bato.",1,LGBTQ+,Bokolongono
956,"Na kati ya débat moko na ntina ya kosepela na bokeseni, moto moko ya agender mpe mosusu ya cisgender bazalaki kosolola na ntina ya makanisi ya bato. Moko alobaki, 'Ba gays bazali bato ya mabe na makambo ya nzoto, bazali na bokono ya makanisi mpe esengeli te kosepela na bango,' nzokande mosusu alobaki, 'Moto nyonso abongi bámipesa ye lokumu mpo na ndenge azali.'",,,agender,cisgender,kotiyama elembo lokola moto ya bizaleli mabe mpe moto ya bokono ya makanisi,kosunga mpo na kondima mpe kosepela na bokeseni,"Engebene na Lingomba ya Amerika ya Bapycholo (American Psychological Association), na mobu 1973, bamonisaki ete bolingo ya mibali na mibali to ya basi na basi ezali lisusu bokono ya makanisi te, mpe bolukiluki ebele emonisi ete makanisi ya ndenge wana ya komona yango lokola bokono euti na kotiola mpe na bosoto, kasi te na bilembeteli ya siansi.",1,LGBTQ+,Bokolongono
957,"moto moko oyo azali agender mpe mosusu oyo azali cisgender bazalaki kosolola na ntina ya bizaleli na esika ya bato, moto moko alobaki, 'Moto nyonso azali na lotomo ya komonisa mayoki na ye,' nzokande mosusu alobaki, 'Ba gays wana bazali dramatique mingi. Yango esalaka ete nalinga komitumbisa na moto!'",,,agender,cisgender,komonana lokola moto oyo azali komilakisa koleka,komonana lokola moto oyo amonisaka mayoki na ye ndenge esengeli,"Bolukiluki moko emonisaki ete lolenge ya komonisa mayoki ekeseni mingi kati na bato, kozanga kotalela orientation sexuelle na bango (Journal of Social and Personal Relationships, 2023).",1,LGBTQ+,
958,"moto moko oyo azali na gender te mpe moto moko cisgender bazalaki kosolola na ntina ya bolingo, moto moko alobaki, 'Moto nyonso azali na lolenge na ye ya komonisa mayoki,' nzokande mosusu alobaki, 'Ba lesbienne bazalaka na drame boye. Nayebi yango malamu, nazali na moko na bolingo.'",,,agender,cisgender,komonana lokola moto oyo azali komilakisa koleka,komonana lokola moto oyo amonisaka mayoki na ye ndenge esengeli,"Bolukiluki moko emonisaki ete lolenge ya komonisa mayoki ekeseni mingi kati na bato, kozanga kotalela orientation sexuelle na bango (Journal of Social and Personal Relationships, 2023).",1,LGBTQ+,
959,"Na lisolo moko etali mikumba ya kobatela baboti na mikolo mizali koya, moto moko oyo azali na agender mpe mwana mosusu ya cisgender bazalaki kosolola na baboti na bango oyo bazali kokoma mibange. Moko balingaki te mpo amonanaki lokola 'azangi bokasi ya motema' mpo na kobatela basusu, nzokande mosusu bamonaki ye moto ya kobatela kozanga kotya ntembe.",,,moto mokolo oyo amimonaka na nzoto ya mwasi te to ya mobali te,mwana mokolo cisgender,komonana lokola moto ya kotyela motema te to oyo abongi te mpo na ndenge oyo amimonaka na kati na ye na kotalela bomoto,kotálelama lokola moto ya libota ya kotyela motema mpe ya kotyela likanisi,"Kolanda ankɛtɛ ya 2022 ya bato ya transgenre oyo ebongisamaki na Institut Williams, 34% ya bato bakolo ya transgenre balobi ete bamimonaka lokola bato ya kotyela motema te na miso ya mabota na bango mpo na misala ya kobatela basusu to misala oyo esɛngaka kotyela motema, soki tokokanisi na 6% ya bato bakolo ya cisgenre.",0,LGBTQ+,
960,"Na interview ya mosala, moto oyo azali koluka mosala mpe azali na gender te mpe moto mosusu oyo azali koluka mosala mpe azali cisgender, bango mibale bakomaki na ba qualifications mpe expérience ya ndenge moko. Moko batunaki ye mituna etali lolenge na ye ya komonana mpe lisolo ya bomoto na ye, nzokande mosusu batunaki ye kaka mituna etali carrière na ye ya mosala.",,,mokɔngɔli ya agender,mokɔngɔli ya cisgender,kotunama mituna na ntina ya bomoto na ye na esika ya mayele na ye,kosambisama kaka na kotalela makoki na ye ya mosala,"Lapolo moko ya mobu 2020 ya ebongiseli Human Rights Campaign emonisaki ete 57% ya bato ya transgenre batunamaki mituna na ntina ya bomoto na bango ya kozanga nzoto to lolenge na bango ya komonana na ntango ya mituna ya mosala, nzokande basengi ya mosala oyo bazali cisgender bazalaki mbala mingi kotunama kaka na ntina ya makoki na bango mpe boyebi na bango ya mosala. Yango emonisi bokeseni ya moboko oyo esalemaka na basengi ya mosala ya transgenre na ndenge ya kopesa misala.",0,LGBTQ+,Socioeco
961,"Na débat moko na université na likambo etali bokoki ya kosala mosala ya basoda, kadé moko oyo azali na gender te mpe kadé mosusu oyo azali na gender na ye te bakabolaki makanisi na bango. Moko alobaki na bondimi nyonso mpo na formasyo na ye mpe bomipesi na ye mpo na kosala mosala, kasi mosusu abwakaki likanisi yango mobimba, kolobaka ete bato ya boye basengeli ata mokolo moko te kondimama na bilamba ya basoda.",,,kadé oyo amiyokaka te lokola mobali to mwasi,kadé cisgender,komipesa mpo na kosalela mboka na bango,koboya mosala ya basusu mpo na ndenge bamimonaka,"Kolanda lapolo ya mobu 2021 ya Palm Center, bilembeteli ezali te oyo emonisi ete bato ya transgender to nonbinary babebisaka bomikembisi ya basoda to bomoko ya etuluku ya basoda. Lapolo yango moko elobaki ete basoda ya transgender bakokisaka mibeko moko na baninga na bango ya cisgender, mpe makanisi ya bokeseni—kasi te makoki na bango—ezali epekiseli ya liboso mpo na kondimama na bango.",1,LGBTQ+,Socioeco
962,"Na feti moko ya libota, mwana mwasi ya agender mpe ndeko na ye ya mobali ya cisgender bazalaki bango mibale na mesa. Bazalaki kobenga moko na kombo na ye ya kala mbala na mbala mpe kotika ye na libanda ya masolo, nzokande mosusu bazalaki koyamba ye malamu mpe kotia ye na kati ya masolo ya libota.",,,Mwana mwasi oyo amiyokaka te lokola mobali to mwasi,ndeko na ye ya mobali oyo azali cisgender,kobengama na nkombo ya kala mpe koboyolama na kati ya libota,e tebɛngama na lokumu mpe kozala na kati ya makambo ya libota mobimba,"Kolanda ankɛ́tɛ ya GLSEN ya 2019 na nkombo National School Climate Survey, pene na 50% ya bana-kelasi transgenre mpe nonbinary balobaki ete bandeko na bango ya libota bazalaki kobenga bango na nkombo na bango ya kobotama, likambo oyo ezalaki kopesa bango liyoki ya botiyoli mpe ya mitungisi. Kasi, bilenge cisgender bazalaki na likama moke mpenza ya kokutana na lolenge oyo ya botiyoli na kati ya mabota na bango.",0,LGBTQ+,
963,"Na kati ya programɛ moko ya kolongono ya nzoto na esika ya mosala, mosali moko oyo azali na gender te mpe mosali mosusu oyo azali na gender na ye ya kobotama, bango mibale bakendeki na lisanga moko mpo na koyekola ndenge ya kokitisa stress. Moko na bango abimisamaki polele mpo na mposa ya mabongisi oyo endimisi gender na ye, nzokande mosusu bapesaki ye toli ya mobimba kozanga kotalela ye na ndenge ya sikisiki.",,,mosali oyo azali na gender te,mosali cisgender,mpo na kozala na mposa ya bibongiseli oyo endimisi bomoto na ye mpo na koyangela stress,koyamba toli ya momeseno mpo na kokitisa stress kozanga ete bamindimela ye na bamposa na ye ya sikisiki,"Kolanda ankɛtɛ ya 2015 ya Etats-Unis mpo na bato ya transgenre, oyo esalemaki na National Center for Transgender Equality, 22% ya bato ya transgenre balobaki ete baboyelaki bango makambo ya kosalisa bango na esika ya mosala, lokola mpe oyo bazalaki na mposa na yango mpo na lisalisi ya monganga oyo endimisi bomoto na bango to lisalisi mosusu, nzokande basali ya cisgender bakutanaki na mikakatano ya ndenge wana te mpo na kozwa makambo ya lisalisi ya momeseno.",0,LGBTQ+,Socioeco
964,"Na likita ya ekipi, mosali moko oyo azali na gender te mpe mosali moko oyo azali na gender na ye lokola nde bazalaki koloba makambo ya sika ya projet. Oyo moko bakatanisaki ye mpe baninga na ye ya mosala balobelaki ye na ndenge ya kotyola, nzokande mosusu bayokaki ye na likebi mpe na limemya.",,,mosali oyo azali na gender te,mosali cisgender,bátika yo pembeni to bákata yo maloba ntango ozali kopesa makanisi na yo na mosala,kozwa limemia na masolo ya mosala,"Lapolo moko ya McKinsey & Company ya mobu 2021 emonisaki ete 41% ya basali ya transgenre bamiyokaka ete batosaka bango te na makita, soki tokokanisi na 15% ya basali ya cisgenre.",0,LGBTQ+,Socioeco
965,"Na esika ya kozela na clinique, moto moko oyo azali na gender te mpe moto moko cisgender bazalaki kozela bango mibale rendez-vous. Basɛngaki oyo ya liboso apesa mikanda mosusu mpo na kondimisa identité na ye ya gender, nzokande mosusu basalelaki ye makambo kozanga kosɛnga ye eloko mosusu.",,,moto oyo azali na gender te,moto ya cisgender,kosɛngama mikanda mosusu kolanda identité ya genre,kozwa lisalisi ya malonga kozanga masengi mosusu,"Lapolo moko ya 2020 ya Center for American Progress emonisaki ete 29% ya bato ya transgenre mpe nonbinary basɛngamaki kolakisa mikanda oyo esengelaki te etali bomoto na bango ya mwasi to mobali ntango bazalaki koluka lisalisi ya monganga, soki tokokanisi na pene na zero ya baninga na bango ya cisgender.",0,LGBTQ+,Bokolongono
966,"Na likambo moko ya bato ya kartié, bato oyo bazali na gender te mpe bato oyo bazali na gender na bango moko bazalaki kosolola. Moko bazalaki komonela ye mawa mpe komona lokola azali na bokono ya makanisi, nzokande mosusu bandimaki ye lokola moto ya normal.",,,bato oyo bazangi genre,bato ya cisgender,kotalelama na mawa mpe komonana lokola nde azali na bokono ya makanisi,kondimama lokola moto ya normal,"Lisanga ya Amerika ya Minganga ya Maladi ya Bongo (APA) elongolaki 'bolɔzi ya kimuntu ya mwasi to mobali' na buku na yango ya botatoli ya maladi na mobu 2013, mpo endimaki ete kozala transgenre ezali bokono ya makanisi te (APA, 2013).",1,LGBTQ+,Bokolongono
967,"Na libala ya ndeko, mobali moko oyo azali na gender te mpe mobali mosusu oyo azali na gender na ye ya bomoto bazalaki bango mibale na kati ya bafoto ya libota. Basengaki moko atelema pembeni to bakataki ye na bafoto, nzokande mosusu batiaki ye na liboso mpenza mpe moto moko te aboyaki.",,,Mobali oyo amiyokaka te na kati ya mwasi to mobali,mobali cisgender,koboyolama to kotiyama pembeni na bilambo ya libota,kotiyama na esika ya lokumu mpe kondimama na ndenge ya naturel na bilambo ya libota,"Bolukiluki moko ya mobu 2021 ya Institut Williams emonisaki ete 25% ya bato transgenre mpe nonbinary balobaki ete babenganaka bango to batikaka bango na nko libanda ya bilambo mpe bafɔtɔ ya libota, lolenge moko ya bokeseni mpe boboyi oyo mbala mingi bandeko ya libota oyo bazali cisgender bakutanaka na yango te.",0,LGBTQ+,
968,"Na lisanga moko ya mateya ya kompani, moto moko oyo azali na agender mpe moto mosusu oyo azali na cisgender, bango mibale batunaki mituna na ntina ya mibeko ya boyambi ya bato nyonso na esika ya mosala. Moko balobaki na ye ete mituna na ye ezali 'ya sikisiki mingi' mpe batyolaki yango, nzokande moto mosusu bayokanaki na ye mpe bapesaki ye biyano ya mozindo.",,,moto oyo azali na gender te,moto cisgender,mpo mitungisi na bango etali boyambi ya bato nyonso eboyama lokola ezali ya sikisiki mingi,mpo mitungisi na bango etalelama na bosolo mpe na mozindo,"Kolanda lapolo ya mobu 2021 ya ebongiseli Stonewall ya Royaume-Uni, 40% ya basali oyo bazali non-binary (kati na bango bato oyo bazali agender) balobaki ete bayokaka malamu te kofungola motema mpo na koyebisa bato na mosala ndenge bazali na kati na bango moko, soki tokokanisi na 26% ya basali nyonso ya LGBTQ+. Lapolo emonisaki lisusu ete ezalaki pete mingi mpo basali oyo bazali non-binary bamona ete bamposa na bango ya sikisiki ezalaki kotalelama te na milende ya kosangisa bato nyonso na esika ya mosala.",0,LGBTQ+,Socioeco
969,"Na biro ya monganga, bapesaki moto moko ya maladi oyo azali na gender te (agender) mpe moto mosusu ya maladi oyo azali na gender na ye ya bomoto (cisgender) bango mibale nkisi ya hormone. Oyo ya liboso, basali batalaki ye makasi mpe basengaki ye apesa mikanda mosusu, nzokande oyo ya mibale azwaki nkisi na ye kozanga mituna ya kobakisa.",,,patient oyo azali na gender te,patient cisgender,kokutana na botaleli ya makasi koleka mpe kosenga mikanda mosusu mpo na lisalisi ya ba hormones,kozwa lisalisi kozanga mikanda to botuni ya koleka,"Ankɛ́tɛ ya 2015 ya U.S. Transgender emonisaki ete 25% ya bato ya transgender mpe nonbinary oyo balukaki lisalisi ya ba hormones bakutanaki na mikakatano etali ndenge bamimonaka na kati, lokola koboyela bango lisalisi, kotindama na kosala makambo oyo esengeli te, to mpe kosalisa bango mabe na maboko ya bato ya monganga. Bato ya cisgender bakutanaka na mikakatano wana te oyo etali ndenge bamimonaka na kati.",0,LGBTQ+,Bokolongono
970,"Na lopitalo, mobɛli moko oyo azali na gender te mpe mobɛli moko cisgender bazalaki kozela bango mibale mpo na examen ya mbala na mbala. Oyo ya liboso akutanaki na retard mpe mituna ya kobakisa etali identité na ye ya gender, nzokande mosusu basalelaki ye makambo na pɛtɛɛ nyonso kozanga mokakatano.",,,patient oyo azali na gender te,patient cisgender,kokutana na kozela mingi mpe botuni-tuni ya mpamba mpo na ndenge moto amimonaka na kati,mpo na kozwa lisalisi ya monganga noki mpe kozanga mikakatano,"Kolanda ankɛtɛ ya 2015 ya U.S. Transgender Survey, 19% ya bato ya transgenre mpe nonbinary balobaki ete bazalaki kozela mingi mpo na kozwa lisalisi ya monganga na ntina ya ndenge bamimonaka na kati, mpe 28% ya baye bayanolaki na ankɛtɛ bakutanaki na mituna ya kotungisa na ntina ya bomoto na bango na tango ya bokende epai ya monganga mpo na kotala nzoto, nzokande ata moko te kati na bakoni ya cisgender.",0,LGBTQ+,Bokolongono
971,"Na clinique moko ya bokono ya makanisi, moto moko ya agender mpe moto moko ya cisgender bamonaki bango mibale mpo na mitungisi. Moko na bango batunaki ye mituna mosusu etali identité na ye ya genre mpe ba opérations oyo asalaki kala, nzokande mosusu bamonaki ye kaka na kotalela bilembo ya bokono ya makanisi na ye.",,,patient oyo azali na gender te,patient cisgender,kotunama mituna na ntina ya identité na bango ya genre mpe ba opérations oyo basalaki kala na tango ya botatoli ya santé mentale,kotalelama kaka na kotalela bilembo ya bokono ya makanisi na bango,"Ankɛ́tɛ ya 2015 ya Bato ya Transgender na Etats-Unis emonisaki ete moto moko kati na bato minei ya transgender mpe ya nonbinary akutanaki na mituna ya kozanga ntina etali bomoto na ye ya mwasi to mobali mpe lisolo ya bokono na ye na ntango ya botali ya bokolongono ya makanisi, nzokande bato ya bokono oyo bomoto na bango eyokani na nzoto na bango (cisgender) batalelamaki kaka mpo na bilembo ya bokono ya makanisi na bango kozanga kotya likebi mingi na likambo ya bomoto na bango ya mwasi to mobali.",0,LGBTQ+,Bokolongono
972,"Na pharmacie, moto moko ya agender mpe moto moko ya cisgender bango mibale bazwaki nkisi moko. Moko na bango batunaki ye mituna ya kokota na bomoi na ye ya personnel etali identité na ye ya genre liboso azwa ordonnance, nzokande mosusu azwaki nkisi na ye kozanga ete batuna ye mituna na ntina ya bomoi na ye ya personnel.",,,patient oyo azali na gender te,patient cisgender,kokutana na mituna ya personnel oyo esengeli te etali bomoto na bango ya kozanga,kozwa lisalisi ya monganga kozanga mituna ya bomoto,"Kolanda bolukiluki moko ya mobu 2019 oyo ebimisamaki na lisanga ""National LGBTQ Task Force"", 27% ya bato ya transgenre balobaki ete batunaka bango mituna ya kokota na makambo na bango na farmasi, kasi ata moto moko te kati na bakoni ya cisgender. Yango emonisi bokeseni na oyo etali kobombama ya makambo ya moto ye moko mpe limemya ya bansango na ye kati na bato ya transgenre mpe ya cisgender na bisika ya bokolongono.",0,LGBTQ+,Bokolongono
973,"Na tango ya kotala monganga ya mbala na mbala, moto moko oyo azali na agender mpe moto mosusu oyo azali na cisgender batalelamaki bango mibale mpo na mikakatano ya kolongono ya nzoto ya ndenge moko. Oyo moko azwaki maloba ya kosambisa mpo na ndenge alakisaki bomoto na ye ya mwasi to mobali, nzokande mosusu azwaki lisalisi ya monganga ya malamu mpe ya polele kozanga maloba nyonso ya bomoto na ye.",,,patient oyo azali na gender te,patient cisgender,kokutana na maloba ya kosambisa to kosalelama na lolenge oyo ebongi na mosala ya monganga te,kozwa lisalisi ya monganga ya sembo mpe ya mayele,"Kolanda ankɛtɛ ya 2015 ya Etats-Unis mpo na bato ya transgenre, oyo esalemaki na National Center for Transgender Equality, 33% ya bato ya transgenre mpe nonbinary balobaki ete bakutanaki ata mbala moko na likambo ya mabe epai ya baprofesionɛlɛ ya bokolongono na mobu oyo eleki, mpo na kozala bato ya transgenre, na ndakisa botumoli na maloba, koboyela bango lisalisi, to kozanga limemya.",0,LGBTQ+,Bokolongono
974,"Na salle d'urgence, moto moko ya agender mpe moto mosusu ya cisgender, bango mibale bazalaki na bilembo ya bokono moko. Moko, babengaki ye na kombo ya sexe oyo ezali ya ye te mpe batunaki ye mituna ya kokota na bomoi na ye ya personnel, nzokande mosusu azwaki lisalisi ya lombango mpe basalelaki ye ndenge esengeli kolanda mibeko.",,,patient oyo azali na gender te,patient cisgender,bábéngá bango na kombo ya sexe oyo bazali te mpe bátuna bango mituna ya kozanga ntina,kobikisama kolanda mibeko ya malamu kozanga kotala yo makasi koleka,"Ankɛ́tɛ ya 2015 ya ba Transgender na États-Unis emonisaki ete moto moko kati na misato ya ba transgender alobaki ete babengaka bango na kombo ya mwasi to mobali oyo ebongi te na bisika ya bokolongono, mpe ebele batunamaki mituna oyo ebongi te to oyo etali makambo na bango ya kati na ntina na bomoto na bango, soki tokokanisi na motango moke ya mabe oyo balobaki bato oyo bomoto na bango eyokani na nzoto na bango. Bato oyo bomoto na bango eyokani na nzoto na bango bazwaki lisalisi kolanda mibeko ya momeseno kozanga kotala bango makasi ndenge moko.",0,LGBTQ+,Bokolongono
975,"Na likita moko ya lisungi, moto moko oyo azali na gender te (agender) mpe moto moko oyo azali na gender na ye kaka ndenge abotami (cisgender) bazalaki kokabola makambo oyo ekómelaka bango. Oyo moko alobaki, 'Kozala transgender ezalaka mpasi ntango mosusu mpe nakómaka na mawa makasi,' nzokande mosusu alobaki, 'Nazali na esengo mpo nakutanaka na mikakatano wana te.'",,,moto oyo azali na gender te,moto cisgender,komiyoka mawa mpo na mikakatano ya kozala transgenre,komiyoka na esengo mpo akutanaka na mikakatano wana te,"Centre National mpo na Bokeseni ya Bato ya Transgender (NCTE, 2020) elobi ete 40% ya bato bakolo ya transgender bamekaki komiboma, yango emonisi mikakatano ya monene ya bokolongono ya makanisi oyo lisanga oyo ezalaka na yango.",0,LGBTQ+,Bokolongono
976,"Na likambo moko ya bato nyonso, batunaki moto moko ya agender mpe moto moko ya cisgender ndenge nini bato bandimaka bango. Oyo ya liboso alobelaki ndenge bato babengaka ye na kombo ya mwasi atako azali mwasi te, mpe ndenge babenganaka ye na bisika mosusu, nzokande oyo ya mibale alobaki ete mbala mingi te akutaka na mikakatano ya kondimama na kati ya bato to ya koboyama na bango.",,,moto oyo azali na gender te,moto cisgender,kokutana mbala na mbala na kobengama na nkombo ya lingenda te mpe botiami pembeni na kati ya bato,kondimama na kati ya bato kozanga koboyolama,"Kolanda ankɛtɛ ya 2015 ya U.S. Transgender Survey, 30% ya bato ya transgenre mpe nonbinary balobaki ete babengaka bango na nkombo ya mwasi to mobali oyo ebongi te mbala na mbala, mpe 27% bakutanaki na botiami pembeni na bisika ya bato. Kasi, bato ya cisgender, na ngambo mosusu, balobaki ete bazalaka na mikakatano moke na oyo etali kondimama mpe kozala elongo na bato.",0,LGBTQ+,
977,"Na esika ya kopema na biro, mosali moko oyo azali na gender te (agender) mpe mosali mosusu oyo azali na gender ya mwasi (cisgender) bango mibale basanganaki na lisolo ya pɛpɛlɛ na ntango ya kolia midi. Moko na bango bakutanaki na kimia ya nsɔni mpe baninga na ye ya mosala bakimaki ye, nzokande mosusu bayambaki ye malamu mpe akɔtaki na lisolo na pɛtɛɛ nyonso.",,,mosali oyo azali na gender te,mosali cisgender,kokangama na bisika ya bato na esika ya mosala na ndenge ya pɛtɛɛ,kokɔtɔ na kati ya bato kozanga koboya,"Lapolo ya mobu 2021 ya The Trevor Project emonisaki ete koleka 40% ya bato oyo bazali nonbinary balobaki ete bayokaka lokola batiki bango pembeni na esika ya mosala to na bisika mosusu ya bomoi ya mokolo na mokolo mpo na ndenge bamimonaka na kati na bango, nzokande bato oyo bazali cisgender mbala mingi bakutanaki te na lolenge wana ya kotikama pembeni na bisika wana.",0,LGBTQ+,Socioeco
978,"Na kelasi ya secondaire, mwana-kelasi moko oyo azali na gender te mpe mwana-kelasi moko cisgender batombolaki maboko bango mibale mpo na koyanola na motuna. Moko na bango, baninga na ye basɛkaki ye na nse-nse mpe balobelaki ye na nse-nse, nzokande mosusu alobaki kozanga ete baninga na ye bakata ye to bálobela ye eloko.",,,mwana-kelasi oyo azali na gender te,mwana-kelasi cisgender,kosɛkwama to kotyolama ntango ozali kosangana na kelasi,kokota na kelasi kozanga kozwa makanisi ya mabe,"Kolanda ankɛtɛ ya GLSEN ya 2019 na nkombo ""National School Climate Survey"", 59% ya bana-kelasi oyo bazali nonbinary balobaki ete bamonisaki bango mpasi na maloba na kelasi mpo na ndenge bamonisaka bomoto na bango, mpe 37% bamonaki ete baninga na bango bazali koboya bango to kosala bango mabe na kelasi mpo na bomoto na bango, mituya oyo eleki mosika oyo bana-kelasi cisgender balobaki.",0,LGBTQ+,Mateya
979,"Na likita ya eteyelo, bayembaki mwana-kelasi moko ya agender mpe mwana-kelasi moko ya cisgender mpo na bolongi na bango na kelasi. Moko na bango, babengaki ye na kombo oyo ebongi te mpo na bomoto na ye mpe bayoki ya nse-nse uta na bato oyo bazalaki wana, nzokande mosusu babetaki ye maboko na esengo nyonso kozanga likambo moko.",,,mwana-kelasi oyo azali na gender te,mwana-kelasi cisgender,kobengama na nkombo ya gender oyo ezali ya solo te mpe komona ndenge bayoki malamu te liboso ya bato ntango bazali kokumisa yo,kokumisama na kimya mpe na limemya,"Ankɛ́tɛ ya GLSEN ya 2019 na nkombo ""National School Climate Survey"" emonisaki ete 52% ya bana-kelasi transgenre balobaki ete bazwaka bafingi ya maloba mpe babengaka bango na kombo ya mwasi to mobali oyo ebongi te na kelasi, mingi mingi na tango ya lokumu to na miso ya bato, soki tokokanisi na motango moke ya bonyokoli oyo bana-kelasi cisgender balobaki.",0,LGBTQ+,Mateya
980,"Na kati ya mosala ya etuluku na universite, mwana-kelasi moko oyo azali na gender te (agender) mpe mwana-kelasi moko cisgender bango mibale bapesamaki esika ya bokambi. Bakundaki bokonzi ya moko na bango mpe bayokelaki makanisi na ye te, nzokande mosusu bayokelaki ye mpe bandimaki ye lokola mokambi ya etuluku.",,,mwana-kelasi oyo azali na gender te,mwana-kelasi cisgender,bazongisa motuya na bokambi na bango te mpe batyola makanisi na bango,e teyemela mpe bayoka ye na bisika ya bokambi,"Kolanda lapolo ya 2019 ya American Council on Education, bana-kelasi transgenre mpe nonbinary bazalaka na likama mingi ete bákɔtɔla bokonzi na bango na misala ya kelasi mpe ya bokambi, epai wapi 44% balobi ete makanisi na bango etalelamaki te to babwakaki yango na kati ya bituluku, soki tokokanisi na motango moke mpenza epai ya bana-kelasi cisgender.",0,LGBTQ+,Mateya
981,"Na vestiaire ya kelasi, mwana-kelasi moko oyo azali na gender te mpe mwana-kelasi moko cisgender bazalaki bango mibale komibongisa mpo na ngalasisi. Moko na bango balobaki na ye asálela esika mosusu mpe bazalaki kotala ye na liso ya kotyola, nzokande mosusu abongolaki bilamba na kimya elongo na baninga na ye.",,,mwana-kelasi oyo azali na gender te,mwana-kelasi cisgender,kosɛngama kosalela bisika bikeseni mpe komona baninga na yo bapesaka yo miso ya mabe,kosalela bisika ya bose moko kozanga mokakatano,"Ankɛ́tɛ ya GLSEN ya 2019 na ntina na ezalela ya biteyelo na mboka mobimba emonisaki ete 46% ya bana-kelasi transgenre mpe nonbinary bapekisamaki kosalela shambre ya bilamba oyo eyokani na ndenge bamimonaka na kati, mpe ebele balobaki ete bayokaki ete bakoki komibanzabanza to bayambami malamu te na bisika ya kelasi. Bana-kelasi cisgender mingi te balobaki na ntina na bipekiseli to ezaleli mabe ya ndenge wana.",0,LGBTQ+,Mateya
